legal_articles,old_category,new_category,rule_applied
《浙江省城市道路管理办法》第二十七条第五项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第（一）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于在全国开展车辆超限超载治理工作的实施方案》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于同意南宁市轨道交通1号线百花岭至埌东客运站下行区间“1·22”侵限事故调查处理结案的批复》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第（九）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第（五）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十七条第（四）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《浙江省城市道路管理办法》第二十八条第一项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于全国开展车辆超限超载治理工作的公告》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
"《东明县人民政府关于同意五得利集团东明面粉有限公司“11·22""一般车辆伤害事故调查报告的批复》",交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于严肃查处无证驾驶违法行为的通知》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于2022年1月全省“两客一危”车辆联网联控工作情况的通报》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《关于2021年第二季度全国大客车通行情况及存在突出风险的通报》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《中华人民共和国机动车辆一致性证书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《出租汽车驾驶员从业资格管理规定》第四十一条第(一)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《福州市机动车驾驶员培训管理办法》第三十条第十项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆证件复印件》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆行驶证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第十七条第一款,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆营运证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆维修备案记录卡》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆称重检测单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆租赁框架协议》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第六条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆相片》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆相关证件复印件》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆照片》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十四条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十九条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆超限信息采集单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第（二）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第（一）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第二项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆检测报告单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆挂靠单位协议书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆承包经营合同书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆定购合同》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆回执单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆出厂公告型号参数》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第七项的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆使用权转让协议》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第七项“第二十七条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆交付记录卡》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆二级维护管理制度》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆一致性证书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第（七）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
南宁市出租汽车客运管理条例》第五十三条第一款第一项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《安阳市客运企业营运客车涉嫌违规运行情况抄告通知书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《客运车辆生产任务考核责任书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《临时占用城市道路许可证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《中巴车辆二级维护保养维修协议书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《中山市深湾超限检测站检测单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《道路客运班线许可证明》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《道路客运班线经营行政许可决定书》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《道路客运班线经营信息表》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《道路客运数字化监测监管系统》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条第二十七条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《市际临时班车牌》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《定制公交服务合同》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条第一款：“违反本条例第二十七条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条第一款第（六）项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条第(二)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《超限检测单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《车辆预售合同》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《超限超载车辆信息检测单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《超限车辆检测单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《山东省汽车客运站检票记录》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《超限车辆行驶公路管理规定》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条“违反本条例第二十七条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条“……违反本条例第二十七条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《海南经济特区机动车辆通行附加费征收管理条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条:“违反本条例第二十七条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《辽宁省客运出租汽车管理条例》第二十四条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《小微型客车租赁经营服务管理办法》第七条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《超限超载车辆检测信息单》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第四十二条第二项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
当事人获得本次运营收入10.59元。刘建辉未取得《网络预约出租汽车驾驶员证》,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第(二)项的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第(二)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第(七)项的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第(七)项,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
《城市道路管理条例》第二十七条第(一)项的规定,交通运输,交通运输违规,重命名: 交通运输 -> 交通运输违规
